byhomeyyz@raspberrypi:~/Home-View $ pm2 logs --nostream --lines 300
[TAILING] Tailing last 300 lines for [all] processes (change the value with --lines option)
/home/byhomeyyz/.pm2/pm2.log last 300 lines:
PM2        | 2026-04-07T10:55:50: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:50: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:53: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:54: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:54: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:57: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:57: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:57: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:01: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:01: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:01: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:05: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:05: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:05: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:09: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:09: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:09: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:13: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:13: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:13: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:17: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:17: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:17: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:21: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:21: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:21: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:25: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:25: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:25: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:29: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:29: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:29: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:33: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:33: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:33: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:36: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:36: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:36: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:40: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:40: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:40: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:44: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:44: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:44: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:48: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:48: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:48: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:52: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:52: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:52: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:56:56: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:56:56: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:56:56: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:00: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:00: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:00: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:04: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:04: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:04: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:08: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:08: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:08: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:12: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:12: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:12: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:16: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:16: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:16: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:20: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:20: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:20: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:23: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:23: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:23: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:27: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:27: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:27: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:31: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:31: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:31: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:35: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:35: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:35: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:39: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:39: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:39: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:43: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:43: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:43: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:47: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:47: PM2 log: App [unical:0] starting in -fork mode-
